vendor,device_type,model,nuid,box_type
Airtel,SB,OTT-Max,NUID-SB-000995,HD
Huawei,SB,SBX-100,NUID-SB-000996,OTT
ZTE,SB,SBX-200,NUID-SB-000997,HD
Nokia,SB,SB-Pro,NUID-SB-000998,OTT
Skyworth,SB,VisionBox,NUID-SB-000999,HD
Airtel,SB,OTT-Max,NUID-SB-001000,OTT
Huawei,SB,SBX-100,NUID-SB-001001,HD
ZTE,SB,SBX-200,NUID-SB-001002,OTT
Nokia,SB,SB-Pro,NUID-SB-001003,HD
Skyworth,SB,VisionBox,NUID-SB-001004,OTT
Airtel,SB,OTT-Max,NUID-SB-001005,HD
Huawei,SB,SBX-100,NUID-SB-001006,OTT
ZTE,SB,SBX-200,NUID-SB-001007,HD
Nokia,SB,SB-Pro,NUID-SB-001008,OTT
Skyworth,SB,VisionBox,NUID-SB-001009,HD
Airtel,SB,OTT-Max,NUID-SB-001010,OTT
Huawei,SB,SBX-100,NUID-SB-001011,HD
ZTE,SB,SBX-200,NUID-SB-001012,OTT
Nokia,SB,SB-Pro,NUID-SB-001013,HD
Skyworth,SB,VisionBox,NUID-SB-001014,OTT
Airtel,SB,OTT-Max,NUID-SB-001015,HD
Huawei,SB,SBX-100,NUID-SB-001016,OTT
ZTE,SB,SBX-200,NUID-SB-001017,HD
Nokia,SB,SB-Pro,NUID-SB-001018,OTT
Skyworth,SB,VisionBox,NUID-SB-001019,HD
Airtel,SB,OTT-Max,NUID-SB-001020,OTT
Huawei,SB,SBX-100,NUID-SB-001021,HD
ZTE,SB,SBX-200,NUID-SB-001022,OTT
Nokia,SB,SB-Pro,NUID-SB-001023,HD
Skyworth,SB,VisionBox,NUID-SB-001024,OTT
Airtel,SB,OTT-Max,NUID-SB-001025,HD
Huawei,SB,SBX-100,NUID-SB-001026,OTT
ZTE,SB,SBX-200,NUID-SB-001027,HD
Nokia,SB,SB-Pro,NUID-SB-001028,OTT
Skyworth,SB,VisionBox,NUID-SB-001029,HD
Airtel,SB,OTT-Max,NUID-SB-001030,OTT
Huawei,SB,SBX-100,NUID-SB-001031,HD
ZTE,SB,SBX-200,NUID-SB-001032,OTT
Nokia,SB,SB-Pro,NUID-SB-001033,HD
Skyworth,SB,VisionBox,NUID-SB-001034,OTT
Airtel,SB,OTT-Max,NUID-SB-001035,HD
Huawei,SB,SBX-100,NUID-SB-001036,OTT
ZTE,SB,SBX-200,NUID-SB-001037,HD
Nokia,SB,SB-Pro,NUID-SB-001038,OTT
Skyworth,SB,VisionBox,NUID-SB-001039,HD
Airtel,SB,OTT-Max,NUID-SB-001040,OTT
Huawei,SB,SBX-100,NUID-SB-001041,HD
ZTE,SB,SBX-200,NUID-SB-001042,OTT
Nokia,SB,SB-Pro,NUID-SB-001043,HD
Skyworth,SB,VisionBox,NUID-SB-001044,OTT
Airtel,SB,OTT-Max,NUID-SB-001045,HD
Huawei,SB,SBX-100,NUID-SB-001046,OTT
ZTE,SB,SBX-200,NUID-SB-001047,HD
Nokia,SB,SB-Pro,NUID-SB-001048,OTT
Skyworth,SB,VisionBox,NUID-SB-001049,HD
Airtel,SB,OTT-Max,NUID-SB-001050,OTT
Huawei,SB,SBX-100,NUID-SB-001051,HD
ZTE,SB,SBX-200,NUID-SB-001052,OTT
Nokia,SB,SB-Pro,NUID-SB-001053,HD
Skyworth,SB,VisionBox,NUID-SB-001054,OTT
Airtel,SB,OTT-Max,NUID-SB-001055,HD
Huawei,SB,SBX-100,NUID-SB-001056,OTT
ZTE,SB,SBX-200,NUID-SB-001057,HD
Nokia,SB,SB-Pro,NUID-SB-001058,OTT
Skyworth,SB,VisionBox,NUID-SB-001059,HD
Airtel,SB,OTT-Max,NUID-SB-001060,OTT
Huawei,SB,SBX-100,NUID-SB-001061,HD
ZTE,SB,SBX-200,NUID-SB-001062,OTT
Nokia,SB,SB-Pro,NUID-SB-001063,HD
Skyworth,SB,VisionBox,NUID-SB-001064,OTT
Airtel,SB,OTT-Max,NUID-SB-001065,HD
Huawei,SB,SBX-100,NUID-SB-001066,OTT
ZTE,SB,SBX-200,NUID-SB-001067,HD
Nokia,SB,SB-Pro,NUID-SB-001068,OTT
Skyworth,SB,VisionBox,NUID-SB-001069,HD
Airtel,SB,OTT-Max,NUID-SB-001070,OTT
Huawei,SB,SBX-100,NUID-SB-001071,HD
ZTE,SB,SBX-200,NUID-SB-001072,OTT
Nokia,SB,SB-Pro,NUID-SB-001073,HD
Skyworth,SB,VisionBox,NUID-SB-001074,OTT
Airtel,SB,OTT-Max,NUID-SB-001075,HD
Huawei,SB,SBX-100,NUID-SB-001076,OTT
ZTE,SB,SBX-200,NUID-SB-001077,HD
Nokia,SB,SB-Pro,NUID-SB-001078,OTT
Skyworth,SB,VisionBox,NUID-SB-001079,HD
Airtel,SB,OTT-Max,NUID-SB-001080,OTT
Huawei,SB,SBX-100,NUID-SB-001081,HD
ZTE,SB,SBX-200,NUID-SB-001082,OTT
Nokia,SB,SB-Pro,NUID-SB-001083,HD
Skyworth,SB,VisionBox,NUID-SB-001084,OTT
Airtel,SB,OTT-Max,NUID-SB-001085,HD
Huawei,SB,SBX-100,NUID-SB-001086,OTT
ZTE,SB,SBX-200,NUID-SB-001087,HD
Nokia,SB,SB-Pro,NUID-SB-001088,OTT
Skyworth,SB,VisionBox,NUID-SB-001089,HD
Airtel,SB,OTT-Max,NUID-SB-001090,OTT
Huawei,SB,SBX-100,NUID-SB-001091,HD
ZTE,SB,SBX-200,NUID-SB-001092,OTT
Nokia,SB,SB-Pro,NUID-SB-001093,HD
Skyworth,SB,VisionBox,NUID-SB-001094,OTT
Airtel,SB,OTT-Max,NUID-SB-001095,HD
Huawei,SB,SBX-100,NUID-SB-001096,OTT
ZTE,SB,SBX-200,NUID-SB-001097,HD
Nokia,SB,SB-Pro,NUID-SB-001098,OTT
Skyworth,SB,VisionBox,NUID-SB-001099,HD
Airtel,SB,OTT-Max,NUID-SB-001100,OTT
Huawei,SB,SBX-100,NUID-SB-001101,HD
ZTE,SB,SBX-200,NUID-SB-001102,OTT
Nokia,SB,SB-Pro,NUID-SB-001103,HD
Skyworth,SB,VisionBox,NUID-SB-001104,OTT
Airtel,SB,OTT-Max,NUID-SB-001105,HD
Huawei,SB,SBX-100,NUID-SB-001106,OTT
ZTE,SB,SBX-200,NUID-SB-001107,HD
Nokia,SB,SB-Pro,NUID-SB-001108,OTT
Skyworth,SB,VisionBox,NUID-SB-001109,HD
Airtel,SB,OTT-Max,NUID-SB-001110,OTT
Huawei,SB,SBX-100,NUID-SB-001111,HD
ZTE,SB,SBX-200,NUID-SB-001112,OTT
Nokia,SB,SB-Pro,NUID-SB-001113,HD
Skyworth,SB,VisionBox,NUID-SB-001114,OTT
Airtel,SB,OTT-Max,NUID-SB-001115,HD
Huawei,SB,SBX-100,NUID-SB-001116,OTT
ZTE,SB,SBX-200,NUID-SB-001117,HD
Nokia,SB,SB-Pro,NUID-SB-001118,OTT
Skyworth,SB,VisionBox,NUID-SB-001119,HD
Airtel,SB,OTT-Max,NUID-SB-001120,OTT
Huawei,SB,SBX-100,NUID-SB-001121,HD
ZTE,SB,SBX-200,NUID-SB-001122,OTT
Nokia,SB,SB-Pro,NUID-SB-001123,HD
Skyworth,SB,VisionBox,NUID-SB-001124,OTT
Airtel,SB,OTT-Max,NUID-SB-001125,HD
Huawei,SB,SBX-100,NUID-SB-001126,OTT
ZTE,SB,SBX-200,NUID-SB-001127,HD
Nokia,SB,SB-Pro,NUID-SB-001128,OTT
Skyworth,SB,VisionBox,NUID-SB-001129,HD
Airtel,SB,OTT-Max,NUID-SB-001130,OTT
Huawei,SB,SBX-100,NUID-SB-001131,HD
ZTE,SB,SBX-200,NUID-SB-001132,OTT
Nokia,SB,SB-Pro,NUID-SB-001133,HD
Skyworth,SB,VisionBox,NUID-SB-001134,OTT
Airtel,SB,OTT-Max,NUID-SB-001135,HD
Huawei,SB,SBX-100,NUID-SB-001136,OTT
ZTE,SB,SBX-200,NUID-SB-001137,HD
Nokia,SB,SB-Pro,NUID-SB-001138,OTT
Skyworth,SB,VisionBox,NUID-SB-001139,HD
Airtel,SB,OTT-Max,NUID-SB-001140,OTT
Huawei,SB,SBX-100,NUID-SB-001141,HD
ZTE,SB,SBX-200,NUID-SB-001142,OTT
Nokia,SB,SB-Pro,NUID-SB-001143,HD
Skyworth,SB,VisionBox,NUID-SB-001144,OTT
Airtel,SB,OTT-Max,NUID-SB-001145,HD
Huawei,SB,SBX-100,NUID-SB-001146,OTT
ZTE,SB,SBX-200,NUID-SB-001147,HD
Nokia,SB,SB-Pro,NUID-SB-001148,OTT
Skyworth,SB,VisionBox,NUID-SB-001149,HD
Airtel,SB,OTT-Max,NUID-SB-001150,OTT
Huawei,SB,SBX-100,NUID-SB-001151,HD
ZTE,SB,SBX-200,NUID-SB-001152,OTT
Nokia,SB,SB-Pro,NUID-SB-001153,HD
Skyworth,SB,VisionBox,NUID-SB-001154,OTT
Airtel,SB,OTT-Max,NUID-SB-001155,HD
Huawei,SB,SBX-100,NUID-SB-001156,OTT
ZTE,SB,SBX-200,NUID-SB-001157,HD
Nokia,SB,SB-Pro,NUID-SB-001158,OTT
Skyworth,SB,VisionBox,NUID-SB-001159,HD
Airtel,SB,OTT-Max,NUID-SB-001160,OTT
Huawei,SB,SBX-100,NUID-SB-001161,HD
ZTE,SB,SBX-200,NUID-SB-001162,OTT
Nokia,SB,SB-Pro,NUID-SB-001163,HD
Skyworth,SB,VisionBox,NUID-SB-001164,OTT
Airtel,SB,OTT-Max,NUID-SB-001165,HD
Huawei,SB,SBX-100,NUID-SB-001166,OTT
ZTE,SB,SBX-200,NUID-SB-001167,HD
Nokia,SB,SB-Pro,NUID-SB-001168,OTT
Skyworth,SB,VisionBox,NUID-SB-001169,HD
Airtel,SB,OTT-Max,NUID-SB-001170,OTT
Huawei,SB,SBX-100,NUID-SB-001171,HD
ZTE,SB,SBX-200,NUID-SB-001172,OTT
Nokia,SB,SB-Pro,NUID-SB-001173,HD
Skyworth,SB,VisionBox,NUID-SB-001174,OTT
Airtel,SB,OTT-Max,NUID-SB-001175,HD
Huawei,SB,SBX-100,NUID-SB-001176,OTT
ZTE,SB,SBX-200,NUID-SB-001177,HD
Nokia,SB,SB-Pro,NUID-SB-001178,OTT
Skyworth,SB,VisionBox,NUID-SB-001179,HD
Airtel,SB,OTT-Max,NUID-SB-001180,OTT
Huawei,SB,SBX-100,NUID-SB-001181,HD
ZTE,SB,SBX-200,NUID-SB-001182,OTT
Nokia,SB,SB-Pro,NUID-SB-001183,HD
Skyworth,SB,VisionBox,NUID-SB-001184,OTT
Airtel,SB,OTT-Max,NUID-SB-001185,HD
Huawei,SB,SBX-100,NUID-SB-001186,OTT
ZTE,SB,SBX-200,NUID-SB-001187,HD
Nokia,SB,SB-Pro,NUID-SB-001188,OTT
Skyworth,SB,VisionBox,NUID-SB-001189,HD
Airtel,SB,OTT-Max,NUID-SB-001190,OTT
Huawei,SB,SBX-100,NUID-SB-001191,HD
ZTE,SB,SBX-200,NUID-SB-001192,OTT
Nokia,SB,SB-Pro,NUID-SB-001193,HD
Skyworth,SB,VisionBox,NUID-SB-001194,OTT
Airtel,SB,OTT-Max,NUID-SB-001195,HD
Huawei,SB,SBX-100,NUID-SB-001196,OTT
ZTE,SB,SBX-200,NUID-SB-001197,HD
Nokia,SB,SB-Pro,NUID-SB-001198,OTT
Skyworth,SB,VisionBox,NUID-SB-001199,HD
Airtel,SB,OTT-Max,NUID-SB-001200,OTT
Huawei,SB,SBX-100,NUID-SB-001201,HD
ZTE,SB,SBX-200,NUID-SB-001202,OTT
Nokia,SB,SB-Pro,NUID-SB-001203,HD
Skyworth,SB,VisionBox,NUID-SB-001204,OTT
Airtel,SB,OTT-Max,NUID-SB-001205,HD
Huawei,SB,SBX-100,NUID-SB-001206,OTT
ZTE,SB,SBX-200,NUID-SB-001207,HD
Nokia,SB,SB-Pro,NUID-SB-001208,OTT
Skyworth,SB,VisionBox,NUID-SB-001209,HD
Airtel,SB,OTT-Max,NUID-SB-001210,OTT
Huawei,SB,SBX-100,NUID-SB-001211,HD
ZTE,SB,SBX-200,NUID-SB-001212,OTT
Nokia,SB,SB-Pro,NUID-SB-001213,HD
Skyworth,SB,VisionBox,NUID-SB-001214,OTT
Airtel,SB,OTT-Max,NUID-SB-001215,HD
Huawei,SB,SBX-100,NUID-SB-001216,OTT
ZTE,SB,SBX-200,NUID-SB-001217,HD
Nokia,SB,SB-Pro,NUID-SB-001218,OTT
Skyworth,SB,VisionBox,NUID-SB-001219,HD
Airtel,SB,OTT-Max,NUID-SB-001220,OTT
Huawei,SB,SBX-100,NUID-SB-001221,HD
ZTE,SB,SBX-200,NUID-SB-001222,OTT
Nokia,SB,SB-Pro,NUID-SB-001223,HD
Skyworth,SB,VisionBox,NUID-SB-001224,OTT
Airtel,SB,OTT-Max,NUID-SB-001225,HD
Huawei,SB,SBX-100,NUID-SB-001226,OTT
ZTE,SB,SBX-200,NUID-SB-001227,HD
Nokia,SB,SB-Pro,NUID-SB-001228,OTT
Skyworth,SB,VisionBox,NUID-SB-001229,HD
Airtel,SB,OTT-Max,NUID-SB-001230,OTT
Huawei,SB,SBX-100,NUID-SB-001231,HD
ZTE,SB,SBX-200,NUID-SB-001232,OTT
Nokia,SB,SB-Pro,NUID-SB-001233,HD
Skyworth,SB,VisionBox,NUID-SB-001234,OTT
Airtel,SB,OTT-Max,NUID-SB-001235,HD
Huawei,SB,SBX-100,NUID-SB-001236,OTT
ZTE,SB,SBX-200,NUID-SB-001237,HD
Nokia,SB,SB-Pro,NUID-SB-001238,OTT
Skyworth,SB,VisionBox,NUID-SB-001239,HD
Airtel,SB,OTT-Max,NUID-SB-001240,OTT
Huawei,SB,SBX-100,NUID-SB-001241,HD
ZTE,SB,SBX-200,NUID-SB-001242,OTT
Nokia,SB,SB-Pro,NUID-SB-001243,HD
Skyworth,SB,VisionBox,NUID-SB-001244,OTT
Airtel,SB,OTT-Max,NUID-SB-001245,HD
Huawei,SB,SBX-100,NUID-SB-001246,OTT
ZTE,SB,SBX-200,NUID-SB-001247,HD
Nokia,SB,SB-Pro,NUID-SB-001248,OTT
Skyworth,SB,VisionBox,NUID-SB-001249,HD
Airtel,SB,OTT-Max,NUID-SB-001250,OTT
Huawei,SB,SBX-100,NUID-SB-001251,HD
ZTE,SB,SBX-200,NUID-SB-001252,OTT
Nokia,SB,SB-Pro,NUID-SB-001253,HD
Skyworth,SB,VisionBox,NUID-SB-001254,OTT
Airtel,SB,OTT-Max,NUID-SB-001255,HD
Huawei,SB,SBX-100,NUID-SB-001256,OTT
ZTE,SB,SBX-200,NUID-SB-001257,HD
Nokia,SB,SB-Pro,NUID-SB-001258,OTT
Skyworth,SB,VisionBox,NUID-SB-001259,HD
Airtel,SB,OTT-Max,NUID-SB-001260,OTT
Huawei,SB,SBX-100,NUID-SB-001261,HD
ZTE,SB,SBX-200,NUID-SB-001262,OTT
Nokia,SB,SB-Pro,NUID-SB-001263,HD
Skyworth,SB,VisionBox,NUID-SB-001264,OTT
Airtel,SB,OTT-Max,NUID-SB-001265,HD
Huawei,SB,SBX-100,NUID-SB-001266,OTT
ZTE,SB,SBX-200,NUID-SB-001267,HD
Nokia,SB,SB-Pro,NUID-SB-001268,OTT
Skyworth,SB,VisionBox,NUID-SB-001269,HD
Airtel,SB,OTT-Max,NUID-SB-001270,OTT
Huawei,SB,SBX-100,NUID-SB-001271,HD
ZTE,SB,SBX-200,NUID-SB-001272,OTT
Nokia,SB,SB-Pro,NUID-SB-001273,HD
Skyworth,SB,VisionBox,NUID-SB-001274,OTT
Airtel,SB,OTT-Max,NUID-SB-001275,HD
Huawei,SB,SBX-100,NUID-SB-001276,OTT
ZTE,SB,SBX-200,NUID-SB-001277,HD
Nokia,SB,SB-Pro,NUID-SB-001278,OTT
Skyworth,SB,VisionBox,NUID-SB-001279,HD
Airtel,SB,OTT-Max,NUID-SB-001280,OTT
Huawei,SB,SBX-100,NUID-SB-001281,HD
ZTE,SB,SBX-200,NUID-SB-001282,OTT
Nokia,SB,SB-Pro,NUID-SB-001283,HD
Skyworth,SB,VisionBox,NUID-SB-001284,OTT
Airtel,SB,OTT-Max,NUID-SB-001285,HD
Huawei,SB,SBX-100,NUID-SB-001286,OTT
ZTE,SB,SBX-200,NUID-SB-001287,HD
Nokia,SB,SB-Pro,NUID-SB-001288,OTT
Skyworth,SB,VisionBox,NUID-SB-001289,HD
Airtel,SB,OTT-Max,NUID-SB-001290,OTT
Huawei,SB,SBX-100,NUID-SB-001291,HD
ZTE,SB,SBX-200,NUID-SB-001292,OTT
Nokia,SB,SB-Pro,NUID-SB-001293,HD
Skyworth,SB,VisionBox,NUID-SB-001294,OTT
Airtel,SB,OTT-Max,NUID-SB-001295,HD
Huawei,SB,SBX-100,NUID-SB-001296,OTT
ZTE,SB,SBX-200,NUID-SB-001297,HD
Nokia,SB,SB-Pro,NUID-SB-001298,OTT
Skyworth,SB,VisionBox,NUID-SB-001299,HD
Airtel,SB,OTT-Max,NUID-SB-001300,OTT
Huawei,SB,SBX-100,NUID-SB-001301,HD
ZTE,SB,SBX-200,NUID-SB-001302,OTT
Nokia,SB,SB-Pro,NUID-SB-001303,HD
Skyworth,SB,VisionBox,NUID-SB-001304,OTT
Airtel,SB,OTT-Max,NUID-SB-001305,HD
Huawei,SB,SBX-100,NUID-SB-001306,OTT
ZTE,SB,SBX-200,NUID-SB-001307,HD
Nokia,SB,SB-Pro,NUID-SB-001308,OTT
Skyworth,SB,VisionBox,NUID-SB-001309,HD
Airtel,SB,OTT-Max,NUID-SB-001310,OTT
Huawei,SB,SBX-100,NUID-SB-001311,HD
ZTE,SB,SBX-200,NUID-SB-001312,OTT
Nokia,SB,SB-Pro,NUID-SB-001313,HD
Skyworth,SB,VisionBox,NUID-SB-001314,OTT
Airtel,SB,OTT-Max,NUID-SB-001315,HD
Huawei,SB,SBX-100,NUID-SB-001316,OTT
ZTE,SB,SBX-200,NUID-SB-001317,HD
Nokia,SB,SB-Pro,NUID-SB-001318,OTT
Skyworth,SB,VisionBox,NUID-SB-001319,HD
Airtel,SB,OTT-Max,NUID-SB-001320,OTT
Huawei,SB,SBX-100,NUID-SB-001321,HD
ZTE,SB,SBX-200,NUID-SB-001322,OTT
Nokia,SB,SB-Pro,NUID-SB-001323,HD
Skyworth,SB,VisionBox,NUID-SB-001324,OTT
Airtel,SB,OTT-Max,NUID-SB-001325,HD
Huawei,SB,SBX-100,NUID-SB-001326,OTT
ZTE,SB,SBX-200,NUID-SB-001327,HD
Nokia,SB,SB-Pro,NUID-SB-001328,OTT
Skyworth,SB,VisionBox,NUID-SB-001329,HD
Airtel,SB,OTT-Max,NUID-SB-001330,OTT
Huawei,SB,SBX-100,NUID-SB-001331,HD
ZTE,SB,SBX-200,NUID-SB-001332,OTT
Nokia,SB,SB-Pro,NUID-SB-001333,HD
Skyworth,SB,VisionBox,NUID-SB-001334,OTT
Airtel,SB,OTT-Max,NUID-SB-001335,HD
Huawei,SB,SBX-100,NUID-SB-001336,OTT
ZTE,SB,SBX-200,NUID-SB-001337,HD
Nokia,SB,SB-Pro,NUID-SB-001338,OTT
Skyworth,SB,VisionBox,NUID-SB-001339,HD
Airtel,SB,OTT-Max,NUID-SB-001340,OTT
Huawei,SB,SBX-100,NUID-SB-001341,HD
ZTE,SB,SBX-200,NUID-SB-001342,OTT
Nokia,SB,SB-Pro,NUID-SB-001343,HD
Skyworth,SB,VisionBox,NUID-SB-001344,OTT
Airtel,SB,OTT-Max,NUID-SB-001345,HD
Huawei,SB,SBX-100,NUID-SB-001346,OTT
ZTE,SB,SBX-200,NUID-SB-001347,HD
Nokia,SB,SB-Pro,NUID-SB-001348,OTT
Skyworth,SB,VisionBox,NUID-SB-001349,HD
Airtel,SB,OTT-Max,NUID-SB-001350,OTT
Huawei,SB,SBX-100,NUID-SB-001351,HD
ZTE,SB,SBX-200,NUID-SB-001352,OTT
Nokia,SB,SB-Pro,NUID-SB-001353,HD
Skyworth,SB,VisionBox,NUID-SB-001354,OTT
Airtel,SB,OTT-Max,NUID-SB-001355,HD
Huawei,SB,SBX-100,NUID-SB-001356,OTT
ZTE,SB,SBX-200,NUID-SB-001357,HD
Nokia,SB,SB-Pro,NUID-SB-001358,OTT
Skyworth,SB,VisionBox,NUID-SB-001359,HD
Airtel,SB,OTT-Max,NUID-SB-001360,OTT
Huawei,SB,SBX-100,NUID-SB-001361,HD
ZTE,SB,SBX-200,NUID-SB-001362,OTT
Nokia,SB,SB-Pro,NUID-SB-001363,HD
Skyworth,SB,VisionBox,NUID-SB-001364,OTT
Airtel,SB,OTT-Max,NUID-SB-001365,HD
Huawei,SB,SBX-100,NUID-SB-001366,OTT
ZTE,SB,SBX-200,NUID-SB-001367,HD
Nokia,SB,SB-Pro,NUID-SB-001368,OTT
Skyworth,SB,VisionBox,NUID-SB-001369,HD
Airtel,SB,OTT-Max,NUID-SB-001370,OTT
Huawei,SB,SBX-100,NUID-SB-001371,HD
ZTE,SB,SBX-200,NUID-SB-001372,OTT
Nokia,SB,SB-Pro,NUID-SB-001373,HD
Skyworth,SB,VisionBox,NUID-SB-001374,OTT
Airtel,SB,OTT-Max,NUID-SB-001375,HD
Huawei,SB,SBX-100,NUID-SB-001376,OTT
ZTE,SB,SBX-200,NUID-SB-001377,HD
Nokia,SB,SB-Pro,NUID-SB-001378,OTT
Skyworth,SB,VisionBox,NUID-SB-001379,HD
Airtel,SB,OTT-Max,NUID-SB-001380,OTT
Huawei,SB,SBX-100,NUID-SB-001381,HD
ZTE,SB,SBX-200,NUID-SB-001382,OTT
Nokia,SB,SB-Pro,NUID-SB-001383,HD
Skyworth,SB,VisionBox,NUID-SB-001384,OTT
Airtel,SB,OTT-Max,NUID-SB-001385,HD
Huawei,SB,SBX-100,NUID-SB-001386,OTT
ZTE,SB,SBX-200,NUID-SB-001387,HD
Nokia,SB,SB-Pro,NUID-SB-001388,OTT
Skyworth,SB,VisionBox,NUID-SB-001389,HD
Airtel,SB,OTT-Max,NUID-SB-001390,OTT
Huawei,SB,SBX-100,NUID-SB-001391,HD
ZTE,SB,SBX-200,NUID-SB-001392,OTT
Nokia,SB,SB-Pro,NUID-SB-001393,HD
Skyworth,SB,VisionBox,NUID-SB-001394,OTT
Airtel,SB,OTT-Max,NUID-SB-001395,HD
Huawei,SB,SBX-100,NUID-SB-001396,OTT
ZTE,SB,SBX-200,NUID-SB-001397,HD
Nokia,SB,SB-Pro,NUID-SB-001398,OTT
Skyworth,SB,VisionBox,NUID-SB-001399,HD
Airtel,SB,OTT-Max,NUID-SB-001400,OTT
Huawei,SB,SBX-100,NUID-SB-001401,HD
ZTE,SB,SBX-200,NUID-SB-001402,OTT
Nokia,SB,SB-Pro,NUID-SB-001403,HD
Skyworth,SB,VisionBox,NUID-SB-001404,OTT
Airtel,SB,OTT-Max,NUID-SB-001405,HD
Huawei,SB,SBX-100,NUID-SB-001406,OTT
ZTE,SB,SBX-200,NUID-SB-001407,HD
Nokia,SB,SB-Pro,NUID-SB-001408,OTT
Skyworth,SB,VisionBox,NUID-SB-001409,HD
Airtel,SB,OTT-Max,NUID-SB-001410,OTT
Huawei,SB,SBX-100,NUID-SB-001411,HD
ZTE,SB,SBX-200,NUID-SB-001412,OTT
Nokia,SB,SB-Pro,NUID-SB-001413,HD
Skyworth,SB,VisionBox,NUID-SB-001414,OTT
Airtel,SB,OTT-Max,NUID-SB-001415,HD
Huawei,SB,SBX-100,NUID-SB-001416,OTT
ZTE,SB,SBX-200,NUID-SB-001417,HD
Nokia,SB,SB-Pro,NUID-SB-001418,OTT
Skyworth,SB,VisionBox,NUID-SB-001419,HD
Airtel,SB,OTT-Max,NUID-SB-001420,OTT
Huawei,SB,SBX-100,NUID-SB-001421,HD
ZTE,SB,SBX-200,NUID-SB-001422,OTT
Nokia,SB,SB-Pro,NUID-SB-001423,HD
Skyworth,SB,VisionBox,NUID-SB-001424,OTT
Airtel,SB,OTT-Max,NUID-SB-001425,HD
Huawei,SB,SBX-100,NUID-SB-001426,OTT
ZTE,SB,SBX-200,NUID-SB-001427,HD
Nokia,SB,SB-Pro,NUID-SB-001428,OTT
Skyworth,SB,VisionBox,NUID-SB-001429,HD
Airtel,SB,OTT-Max,NUID-SB-001430,OTT
Huawei,SB,SBX-100,NUID-SB-001431,HD
ZTE,SB,SBX-200,NUID-SB-001432,OTT
Nokia,SB,SB-Pro,NUID-SB-001433,HD
Skyworth,SB,VisionBox,NUID-SB-001434,OTT
Airtel,SB,OTT-Max,NUID-SB-001435,HD
Huawei,SB,SBX-100,NUID-SB-001436,OTT
ZTE,SB,SBX-200,NUID-SB-001437,HD
Nokia,SB,SB-Pro,NUID-SB-001438,OTT
Skyworth,SB,VisionBox,NUID-SB-001439,HD
Airtel,SB,OTT-Max,NUID-SB-001440,OTT
Huawei,SB,SBX-100,NUID-SB-001441,HD
ZTE,SB,SBX-200,NUID-SB-001442,OTT
Nokia,SB,SB-Pro,NUID-SB-001443,HD
Skyworth,SB,VisionBox,NUID-SB-001444,OTT
Airtel,SB,OTT-Max,NUID-SB-001445,HD
Huawei,SB,SBX-100,NUID-SB-001446,OTT
ZTE,SB,SBX-200,NUID-SB-001447,HD
Nokia,SB,SB-Pro,NUID-SB-001448,OTT
Skyworth,SB,VisionBox,NUID-SB-001449,HD
Airtel,SB,OTT-Max,NUID-SB-001450,OTT
Huawei,SB,SBX-100,NUID-SB-001451,HD
ZTE,SB,SBX-200,NUID-SB-001452,OTT
Nokia,SB,SB-Pro,NUID-SB-001453,HD
Skyworth,SB,VisionBox,NUID-SB-001454,OTT
Airtel,SB,OTT-Max,NUID-SB-001455,HD
Huawei,SB,SBX-100,NUID-SB-001456,OTT
ZTE,SB,SBX-200,NUID-SB-001457,HD
Nokia,SB,SB-Pro,NUID-SB-001458,OTT
Skyworth,SB,VisionBox,NUID-SB-001459,HD
Airtel,SB,OTT-Max,NUID-SB-001460,OTT
Huawei,SB,SBX-100,NUID-SB-001461,HD
ZTE,SB,SBX-200,NUID-SB-001462,OTT
Nokia,SB,SB-Pro,NUID-SB-001463,HD
Skyworth,SB,VisionBox,NUID-SB-001464,OTT
Airtel,SB,OTT-Max,NUID-SB-001465,HD
Huawei,SB,SBX-100,NUID-SB-001466,OTT
ZTE,SB,SBX-200,NUID-SB-001467,HD
Nokia,SB,SB-Pro,NUID-SB-001468,OTT
Skyworth,SB,VisionBox,NUID-SB-001469,HD
Airtel,SB,OTT-Max,NUID-SB-001470,OTT
Huawei,SB,SBX-100,NUID-SB-001471,HD
ZTE,SB,SBX-200,NUID-SB-001472,OTT
Nokia,SB,SB-Pro,NUID-SB-001473,HD
Skyworth,SB,VisionBox,NUID-SB-001474,OTT
Airtel,SB,OTT-Max,NUID-SB-001475,HD
Huawei,SB,SBX-100,NUID-SB-001476,OTT
ZTE,SB,SBX-200,NUID-SB-001477,HD
Nokia,SB,SB-Pro,NUID-SB-001478,OTT
Skyworth,SB,VisionBox,NUID-SB-001479,HD
Airtel,SB,OTT-Max,NUID-SB-001480,OTT
Huawei,SB,SBX-100,NUID-SB-001481,HD
ZTE,SB,SBX-200,NUID-SB-001482,OTT
Nokia,SB,SB-Pro,NUID-SB-001483,HD
Skyworth,SB,VisionBox,NUID-SB-001484,OTT
Airtel,SB,OTT-Max,NUID-SB-001485,HD
Huawei,SB,SBX-100,NUID-SB-001486,OTT
ZTE,SB,SBX-200,NUID-SB-001487,HD
Nokia,SB,SB-Pro,NUID-SB-001488,OTT
Skyworth,SB,VisionBox,NUID-SB-001489,HD
Airtel,SB,OTT-Max,NUID-SB-001490,OTT
Huawei,SB,SBX-100,NUID-SB-001491,HD
